item_name,most_recent_rating,average_stars
Umbrella,2025-12-20 17:39:37,0.00
Bluetooth Speaker,2025-09-21 07:45:32,0.00
Rug,2025-12-26 23:56:44,0.00
Blanket,2025-06-21 20:40:52,1.00
Razor,2025-11-22 20:15:40,1.00
Sweater,2025-10-25 10:42:04,1.00
Bookshelf,2025-08-18 23:44:46,1.00
Handbag,2025-02-06 02:37:07,1.50
Frying Pan,2025-12-23 16:33:33,1.50
Jeans,2025-12-07 20:58:46,1.67
Keyboard,2025-02-11 12:18:38,2.00
Vacuum Cleaner,2025-11-22 12:32:51,2.00
Wallet,2025-07-04 20:17:14,2.00
Hair Dryer,2025-10-18 19:05:04,2.00
USB Drive,2025-09-03 07:16:14,2.00
Refrigerator,2025-10-27 07:47:39,2.50
Body Wash,2025-12-04 13:10:46,2.50
Game Console,2025-09-02 02:47:56,2.60
Dining Table,2025-10-10 01:49:59,2.67
Sofa,2025-08-05 12:29:20,2.80
Air Fryer,2025-08-10 01:31:08,3.00
Washing Machine,2025-01-02 04:06:01,3.00
Lotion,2025-08-19 01:32:58,3.00
Luggage,2025-09-02 08:20:43,3.00
Laptop Stand,2025-07-05 10:21:14,3.00
Folder,2025-11-07 03:18:36,3.20
Hat,2025-08-03 03:30:44,3.50
Video Game,2025-09-15 00:51:01,3.50
Modem,2025-12-26 01:36:04,3.67
Pen,2025-12-21 13:02:05,3.67
Socks,2025-10-02 05:39:22,4.00
Router,2025-11-18 03:53:49,4.00
Charger,2025-07-06 21:01:59,4.00
Measuring Cups,2025-10-16 00:37:17,5.00
